,Title,Abstract
0,Canadian efforts to slow the spread of Emerald Ash Borer (Agrilus planipennis Fairmaire) are economically efficient,"The Emerald Ash Borer (EAB), Agrilus plaipennis (Coleoptera: Buprestidae) was introduced to North America more than two decades ago and has spread despite management efforts in both the United States and Canada. The insect kills most species of ash tree (Fraxinus sp.) and its management imposes costs to plant health protection agencies, forest industry, private landowners and municipalities. The United States Department of Agriculture – Animal and Plant Health Inspection Service (USDA-APHIS) has deemed existing regulation efforts in the United States to be ineffective and has removed federal regulations designed to limit the spread of EAB. The Canadian Food Inspection Agency (CFIA) is also trying to determine if continued regulation of EAB in Canada is worthwhile. Here we show that the benefits of slowing the spread of EAB via regulation are likely greater than the costs of implementing regulation if it is minimally effective (i.e. more than 25% effective at preventing anthropogenic spread). To evaluate the economic efficiency of existing Canadian EAB regulations, we examined trade-offs between the monetary benefits of regulation and the costs of regulation. Specifically, we simulated the spread of EAB under various levels of regulation effectiveness and estimated the timing of EAB arrival and associated ash mortality in urban and rural settings. Delaying ash mortality via regulation also delays management costs, a benefit to ash tree owners/users. Our findings suggest that an economic justification to continue regulating the insect exists based on monetary costs alone. The net present value of regulation (benefits less costs) is estimated to range between $23 million to $240 million, depending on the level of regulation effectiveness. Additional environmental and social benefits not addressed here would likely increase the value of EAB regulation but appear unneeded to justify such efforts on allocative efficiency grounds. © 2021"
1,Niche partitioning and coexistence of parasitoids of the same feeding guild introduced for biological control of an invasive forest pest,"When multiple species of host-specific natural enemies from the same feeding guild are introduced to areas against a target pest, strong interspecific competition is likely and may compromise biocontrol unless the agents effectively partition available resources. Here, we evaluate if two parasitoids (Spathius galinae and Tetrastichus planipennisi), introduced for biocontrol of the invasive emerald ash borer (EAB), Agrilus planipennis, into North America have established niche-partitioning, co-existing populations following their sequential or simultaneous field releases to 12 hard-wood forests located in Midwest and Northeast regions of the United States. We found the two recently introduced EAB larval parasitoids, S. galinae and T. planipennisi, established niche-partitioning, co-existing populations in all release areas. Presence, abundance, and/or host attack (parasitism) rates of the two parasitoid species differed significantly among ash tree-size classes, with S. galinae parasitism more abundant in larger diameter and pole-size trees, while T. planipennisi dominated in saplings. We also found the abundance of EAB larvae declined significantly with height in both ash saplings and pole-size trees, whereas the abundance of S. galinae and T. planipennisi broods was unaffected. However, the abundance of both larval parasitoid species was strongly and positively correlated with EAB larval abundance in sampled sections of their preferred tree-size classes. Our findings suggest that the two introduced specialist parasitoids, S. galinae and T. planipennisi, complement one another in protecting trees of different size classes against EAB. © 2021"
2,Oystershell scale: an emerging invasive threat to aspen in the southwestern US,"Oystershell scale (OSS; Lepidosaphes ulmi) is an emerging invasive insect that poses a serious threat to conservation of quaking aspen (Populus tremuloides) in the southwestern US. Although OSS has been an urban pest in the US since the 1700s, it has recently spread into natural aspen stands in northern Arizona, where outbreaks are causing dieback and mortality. We quantified the ongoing outbreak of OSS at two scales: (1) local severity at two sites and (2) regional distribution across northern Arizona. Our regional survey indicated that OSS is widespread in lower elevation aspen stands and is particularly pervasive in ungulate exclosures. Advanced regeneration had the highest levels of infestation and mortality, which is concerning because this size class is an underrepresented component of aspen stands in northern Arizona. If OSS continues to spread and outbreaks result in dieback and mortality like we observed, then aspen in the southwestern US, and perhaps beyond, will be threatened. Three interacting factors contribute to OSS’s potential as a high-impact invasive insect that could spread rapidly: (1) its hypothesized role as a sleeper species, (2) potential interactions between OSS and climate change, and (3) the species’ polyphagous nature. Invasive pests like OSS pose an imminent threat to native tree species and, therefore, represent an immediate research and monitoring priority. We conclude with recommendations for future research and monitoring in order to understand OSS’s biology in natural aspen stands, quantify impacts, limit future spread, and mitigate mortality and loss of aspen and other host species. © 2021, The Author(s), under exclusive licence to Springer Nature Switzerland AG."
3,Characterizing the variation in aggressiveness and sporulation of the NA1 and EU1 lineages of Phytophthora ramorum in Oregon,"Phytophthora ramorum, the cause of sudden oak death, is an invasive pathogen present in parts of coastal California and south-western Oregon forests. The majority of these forest infestations have been caused by the NA1 clonal lineage. In 2015, the EU1 lineage of P. ramorum was isolated from a tanoak (Notholithocarpus densiflorus) tree located in a mixed-conifer forest of Curry County, Oregon. In order to evaluate the threat to Oregon forests of the EU1 lineage relative to the established NA1 lineage, a series of experiments was conducted comparing aggressiveness and sporulation of NA1 and EU1 isolates on logs and seedlings in the growth chamber and forest. There was no significant difference in lesion size on logs inoculated with NA1 and EU1 isolates for any of the tree species tested. Across all seedling experiments differences among isolates within lineage, in terms of both aggressiveness and sporulation, were more commonly observed than differences among lineages. Site to site variation in tanoak sporulation, as measured by rain bucket baiting, appears to be correlated with the number of P. ramorum-positive seedlings detected at each site. © 2021 The Authors. Plant Pathology published by John Wiley & Sons Ltd on behalf of British Society for Plant Pathology"
4,Fungi associated with galleries of the emerald ash borer,"The emerald ash borer (EAB) is an exotic forest pest that has killed millions of ash trees in the United States and Canada, resulting in an ecological disaster and billions of dollars in economic losses of urban landscape and forest trees. The beetle was first detected in Michigan in 2002 and has spread through much of the Eastern and Midwestern U.S., reaching Minnesota in 2009. Since then, it has spread across the state and poses a great risk to the more than 1 billion ash trees in Minnesota. The larval stage of EAB creates wounds on trees as they feed on the inner bark, causing disruption of water and sap flow that results in tree death. The fungal community associated with EAB larval galleries is poorly understood and the role these fungi may play in tree death is not known. This study describes fungi isolated from EAB larval galleries sampled throughout the main geographic areas of Minnesota where ash is affected by EAB. Fungal cultures were identified by extracting genomic DNA and sequencing the ITS region of the rDNA. Results from 1126 isolates reveal a diverse assemblage of fungi and three functional guilds comprised of canker pathogens, wood decay, and entomopathogenic fungi. The most common canker-associated genera were Cytospora followed by Phaeoacremonium, Paraconiothyrium, Coniothyrium, Nectria, Diplodia, and Botryosphaeria. Fungi in the Basidiomycota were nearly all wood decay causing fungi and many were species of pioneer colonizing genera including Sistotrema, Irpex, Peniophora, Phlebia and Ganoderma. Some of these fungi seriously affect urban trees, having the potential to cause rapid wood decay resulting in hazardous tree situations. Several entomopathogenic genera with the potential for biological control of EAB were also isolated from galleries. Purpureocillium was the most commonly isolated genus, followed by Beauveria, Clonostachys, Lecanicillium, Akanthomyces, Cordyceps, Microcera, Tolypocladium, and Pochonia. The results identify important fungal functional guilds that are occupying a new niche in ash trees resulting from EAB and include fungi that may accelerate decline in tree health, increase hazard tree situations, or may provide options for biological control of this destructive invasive insect. © 2021 The Author(s)"
5,Fungal Interactions and Host Tree Preferences in the Spruce Bark Beetle Ips typographus,"The spruce bark beetle Ips typographus is the most damaging pest in European spruce forests and has caused great ecological and economic disturbances in recent years. Although native to Eurasia, I. typographus has been intercepted more than 200 times in North America and could establish there as an exotic pest if it can find suitable host trees. Using in vitro bioassays, we compared the preference of I. typographus for its coevolved historical host Norway spruce (Picea abies) and two non-coevolved (naïve) North American hosts: black spruce (Picea mariana) and white spruce (Picea glauca). Additionally, we tested how I. typographus responded to its own fungal associates (conspecific fungi) and to fungi vectored by the North American spruce beetle Dendroctonus rufipennis (allospecific fungi). All tested fungi were grown on both historical and naïve host bark media. In a four-choice Petri dish bioassay, I. typographus readily tunneled into bark medium from each of the three spruce species and showed no preference for the historical host over the naïve hosts. Additionally, the beetles showed a clear preference for bark media colonized by fungi and made longer tunnels in fungus-colonized media compared to fungus-free media. The preference for fungus-colonized media did not depend on whether the medium was colonized by conspecific or allospecific fungi. Furthermore, olfactometer bioassays demonstrated that beetles were strongly attracted toward volatiles emitted by both con- and allospecific fungi. Collectively, these results suggest that I. typographus could thrive in evolutionary naïve spruce hosts if it becomes established in North America. Also, I. typographus could probably form and maintain new associations with local allospecific fungi that might increase beetle fitness in naïve host trees. © Copyright © 2021 Tanin, Kandasamy and Krokene."
6,Evaluation of Trapping Schemes to Detect Emerald Ash Borer (Coleoptera: Buprestidae),"Management responses to invasive forest insects are facilitated by the use of detection traps ideally baited with species-specific semiochemicals. Emerald ash borer, Agrilus planipennis Fairmaire, is currently invading North American forests, and since its detection in 2002, development of monitoring tools has been a primary research objective. We compared six trapping schemes for A. planipennis over 2 yr at sites in four U.S. states and one Canadian province that represented a range of background A. planipennis densities, canopy coverage, and ash basal area. We also developed a region-wide phenology model. Across all sites and both years, the 10th, 50th, and 90th percentile of adult flight occurred at 428, 587, and 837 accumulated degree-days, respectively, using a base temperature threshold of 10°C and a start date of 1 January. Most trapping schemes captured comparable numbers of beetles with the exception of purple prism traps (USDA APHIS PPQ), which captured significantly fewer adults. Trapping schemes varied in their trap catch across the gradient of ash basal area, although when considering trap catch as a binary response variable, trapping schemes were more likely to detect A. planipennis in areas with a higher ash component. Results could assist managers in optimizing trap selection, placement, and timing of deployment given local weather conditions, forest composition, and A. planipennis density. © 2021 The Author(s) 2021. Published by Oxford University Press on behalf of Entomological Society of America. All rights reserved. For permissions, please e-mail: journals.permissions@oup.com."
7,When does natural science uncertainty translate into economic uncertainty?,"Understanding the connection between ecological and economic uncertainty matters when calculating damage estimates used to inform environmental policy. Identifying the role uncertainty plays in market damage estimates is important for policy made using highly variable and stochastic projections on ecological losses. Herein we use the damages caused by invasive species as our motivating example to illustrate our point. We examine how a key economic assumption—the degree of substitutability across marketable goods—influences the importance of narrowing the uncertainty of ecological losses from invasive species. We use a computable general equilibrium model (CGE) capable of evaluating impacts from an invasive species under varying market structures. Focusing in on the emerald ash borer which is destroying ash trees throughout the contiguous United States, our results show why investing in narrowing natural science uncertainty is critical when the economy is constrained or when few economic substitutes exist. The key to understanding the value of natural science information on market damages is to understand how prices adjust given substitution possibilities and how people adapt to the newly invaded world. Mapping this ecological-economic relationship through relative prices has implications for a broader set of environmental issues like climate change and damage compensation given a damaged ecosystem. © 2021 Elsevier B.V."
8,Response of native and exotic longhorn beetles to common pheromone components provides partial support for the pheromone-free space hypothesis,"Longhorn beetles are among the most important groups of invasive forest insects worldwide. In parallel, they represent one of the most well-studied insect groups in terms of chemical ecology. Longhorn beetle aggregation-sex pheromones are commonly used as trap lures for specific and generic surveillance programs at points of entry and may play a key role in determining the success or failure of exotic species establishment. An exotic species might be more likely to establish in a novel habitat if it relies on a pheromone channel that is different to that of native species active at the same time of year and day, allowing for unhindered mate location (i.e., pheromone-free space hypothesis). In this study, we first tested the attractiveness of single pheromone components (i.e., racemic 3-hydroxyhexan-2-one, racemic 3-hydroxyoctan-2-one, and syn-2,3-hexanediol), and their binary and tertiary combinations, to native and exotic longhorn beetle species in Canada and Italy. Second, we exploited trap catches to determine their seasonal flight activity. Third, we used pheromone-baited “timer traps” to determine longhorn beetle daily flight activity. The response to single pheromones and their combinations was mostly species specific but the combination of more than one pheromone component allowed catch of multiple species simultaneously in Italy. The response of the exotic species to pheromone components, coupled with results on seasonal and daily flight activity, provided partial support for the pheromone-free space hypothesis. This study aids in the understanding of longhorn beetle chemical ecology and confirms that pheromones can play a key role in longhorn beetle invasions. © 2020 Institute of Zoology, Chinese Academy of Sciences"
9,Investigating the abundance and flight period of bark beetles (Coleoptera: Curculionidae: Scolytinae) over elevational gradients in Sitka spruce forests,"A warming climate, as predicted under current climate change projections, is likely to influence the population dynamics of many forest insect species. Numerous bark beetle species in both Europe and North America have already responded to a warming climate by significantly expanding their geographical ranges. The aim of the current study was to investigate how populations of bark beetles within stands of Sitka spruce, a widely planted non-native commercial plantation tree species in the U.K., were likely to respond to a warming climate. Experimental plots were established in stands of Sitka spruce over elevational gradients in two commercial forest plantations, and the abundance and emergence times of key bark beetle species were assessed over a 3-year period using flight interception traps. The air temperature difference between the lowest and highest experimental plot in each forest was consistently >1°C throughout the 3-year period. In general, the abundance of the most dominant bark beetle species (e.g. Trypodendron, Dryocoetes, Hylastes spp.) was higher, and emergence times tended to be earlier in the year at the lower elevation plots, where temperatures were higher, although not all bark beetle species responded in the same manner. The results of the study indicated that, under the projected future climate warming scenarios, monoculture Sitka spruce stands at low elevations may potentially be more vulnerable to significant outbreak events from existing or invasive bark beetle species. Hence, consideration of establishing more resilient forests of Sitka spruce by diversifying the species composition and structure of Sitka spruce stands is discussed. © 2020 Crown copyright. Agricultural and Forest Entomology © 2020 The Royal Entomological Society"
