,Title,Abstract
0,"Discovery of Trichoferus campestris ( Coleoptera: Cerambycidae) in Ontario, Canada and first host record in North America","Introductions of some forest invasive alien species result in important economic, environmental, and ecological impacts. One approach used by the Canadian Food Inspection Agency to improve the detection of these species is to collect logs from trees in declining health at high risk sites of introduction and to incubate them to obtain insects, if present. Trichoferus campestris (Faldermann) (Coleoptera: Cerambycidae) adults emerged, and live larvae were extracted, from one of two logs taken from a dying Norway maple, Acer platanoides Linnaeus (Sapindaceae), in Mississauga, Ontario, Canada. In its native range, eastern Asia, this beetle is polyphagous, however, in North America there is no host record despite numerous interceptions of larvae in wood packaging material and captures of adults at various post-entry sites. An examination of the feeding damage caused by T. campestris in that maple suggests this insect is not a primary pest of trees in Ontario."
1,Anthropogenic drivers of gypsy moth spread,"The gypsy moth, Lymantria dispar (L.), is a polyphagous defoliator introduced to Medford, Massachusetts in 1869. It has spread to over 860,000 km 2 in North America, but this still only represents 1/4 of its susceptible host range in the United States. To delay defoliation in the remaining susceptible host range, the government maintains a barrier zone and a quarantine, reflecting a presumption that anthropogenic factors are important in the spread of gypsy moth. We develop a model framework that relates these factors along with biophysical characteristics to a county's susceptibility to gypsy moth invasion. We then compile a dataset for counties within 200 km of the infested area and use trap catch data from 1999 to 2007 to estimate the probability of gypsy moth presence. As expected, gypsy moth is more likely to be found close to the population front and to traps that recorded moths in the previous year. However, when controlling for these factors, our most robust finding is that the use of wood for home heating and energy is consistently positively correlated with the presence of gypsy moth. In contrast, the movement of wood products by industry, which is actively regulated by state and federal governments, is rarely correlated with the presence of gypsy moth. This is consistent with effective regulation of the movement of goods by industry, but not by the public. Our findings provide empirical support for the importance and challenge of firewood as a vector for non-native forest insects."
2,RNA interference in the Asian Longhorned Beetle:Identification of Key RNAi Genes and Reference Genes for RT-qPCR,"Asian Longhorned Beetle (ALB) Anoplophora glabripennis is a serious invasive forest pest in several countries including the United States, Canada, and Europe. RNA interference (RNAi) technology is being developed as a novel method for pest management. Here, we identified the ALB core RNAi genes including those coding for Dicer, Argonaute, and double-stranded RNA-binding proteins (dsRBP) as well as for proteins involved in dsRNA transport and the systemic RNAi. We also compared expression of six potential reference genes that could be used to normalize gene expression and selected gapdh and rpl32 as the most reliable genes among different tissues and stages of ALB. Injection of double-stranded RNA (dsRNA) targeting gene coding for inhibitor of apoptosis (IAP) into larvae and adults resulted in a significant knockdown of this gene and caused the death of 90% of the larvae and 100% of adults. No mortality of both larvae and adults injected with dsRNA targeting gene coding for green fluorescence protein (GFP, as a negative control) was observed. These data suggest that functional RNAi machinery exists in ALB and a potential RNAi-based method could be developed for controlling this insect."
3,Ground application of mating disruption against the gypsy moth (Lepidoptera: Erebidae),"The gypsy moth, Lymantria dispar (L.) (Lepidoptera: Erebidae), is a non-native defoliating insect that continues to expand its range in North America and undergo periodic outbreaks. In management efforts to suppress outbreaks, slow its spread and eradicate populations that arrive outside of the invaded range, aerial deployments of mating disruption tactics and pesticides are generally used. However, in some cases, such as in heavily urbanized areas or other landscapes where aerial deployments are not feasible or permitted, ground applications are required. Ground applications tend to be labour-intensive to ensure adequate coverage. To better inform optimal deployment of ground applications of mating disruption, we measured the effectiveness of a pheromone formulation designed for ground application, SPLAT (R) GM, in forested areas of Virginia from 2011 to 2014 using different dosages and number of point applications. We observed that SPLAT (R) GM applied to the tree trunks at the dosages of 49.4 and 123.6 g AI/ha in 11 x 11 systematic grids (i.e., every 11 m) reduced male trap catch by >90% relative to untreated control plots, which based on previous studies corresponds to >95% reduction in gypsy moth mating success. Our observations suggest that ground applications of gypsy moth mating disruption can be a successful management tool when circumstances require it."
4,"Long-Term Impacts of Invasive Insects and Pathogens on Composition, Biomass, and Diversity of Forests in Virginia's Blue Ridge Mountains","Exotic forest insects and pathogens (EFIP) have become regular features of temperate forest ecosystems, yet we lack a long-term perspective on their net impacts on tree mortality, carbon sequestration, and tree species diversity. Here, we analyze 3 decades (1987-2019) of forest monitoring data from the Blue Ridge Mountains ecoregion in eastern North America, including 67 plots totaling 29.4 ha, along with a historical survey from 1939. Over the past century, EFIP substantially affected at least eight tree genera. Tree host taxa had anomalously high mortality rates (>= 6% year(-1) from 2008 to 2019 vs 1.4% year(-1) for less-impacted taxa). Following the arrival of EFIP, affected taxa declined in abundance (- 25 to - 100%) and live aboveground biomass (AGB; - 13 to - 100%) within our monitoring plots. We estimate that EFIP were responsible for 21-29% of ecosystem AGB loss through mortality (- 87 g m(-2) year(-1)) from 1991 to 2013 across 66 sites. Over a century, net AGB loss among affected species totaled roughly 6.6-10 kg m(-2). The affected host taxa accounted for 23-29% of genera losses at the plot scale, with mixed net effects on alpha-diversity. Several taxa were lost from our monitoring plots but not completely extirpated from the region. Despite these losses, both total AGB and alpha-diversity were largely recovered through increases in sympatric genera. These results indicate that EFIP have been an important force shaping forest composition, carbon cycling, and diversity. At the same time, less-affected taxa in these relatively diverse temperate forests have conferred substantial resilience with regard to biomass and alpha-diversity."
5,A duplex ddPCR assay for simultaneously detecting Ips sexdentatus and Ips typographus (Coleoptera: Curculionidae) in bulk trap samples,"Bark beetles in the family Curculionidae present a growing hazard to forests worldwide. Like native bark beetles, introduced exotic species can pose a serious threat to North American forests. Ips typographus (Boerner) and Ips sexdentatus (Linnaeus), both native to Europe, are two such pests that have caused widespread forest loss in their native ranges. International trade has led to increased interceptions of Scolytine beetles at ports of entry to the United States. Most intercepted individuals are not identified to species due to lack of expert identifiers, poor specimen quality, or incomplete taxonomy. These same problems affect identification for domestic surveys. Therefore, development of molecular methods for identification of potentially invasive Ips species is essential. Because of the need to scrutinize large numbers of beetles in an efficient manner, we describe a duplex droplet digital PCR (ddPCR) assay to identify I. typographus and I. sexdentatus simultaneously in bulk trap samples containing 500 Scolytinae specimens using a scalable, two-step DNA extraction. This ddPCR method is highly effective for processing the entire contents of beetle traps and identifying these potentially invasive species in a timely and definitive manner. We also describe a nondestructive DNA extraction technique that preserves specimens for morphological identification."
6,Spatiotemporal patterns of forest damage and disturbance in the northeastern United States: 2000-2016,"Forest damage and disturbance can have significant influences on tree vigor, species composition, biodiversity, and associated ecosystem services. Recognizing the importance of monitoring spatiotemporal patterns of forest health, federal and state agencies in the United States (US) have conducted aerial insect and disease surveys (IDS) annually to quantify the extent of forest damage by type and causal agent. Although agencies have collected these geospatial data for decades, long-term trends and patterns have not been synthesized across the predominantly forested region of northern New England and New York. Here, we utilized a novel, online forest damage and disturbance mapping portal, the Northeastern Forest Health Atlas, to investigate inter-annual and long-term patterns (2000-2016). Our analysis indicated that similar to 11.0 million ha of forestland (10% of the study region) experienced at least one damage event (i.e., an IDS polygon) over the 17-year period, averaging 647,425 +/- 215,482 ha (3.4 +/- 1.1% of the region's forestland) annually. While there were no detectable linear, long-term trends in annual extent or relative abundance of damage by agent category, we found that some ecoregions experienced relatively higher damage rates (e.g., Acadian Plains and Hills, Atlantic Coastal Pine Barrens). Across the region, insects were the most extensive damage agent category mapped (similar to 8 million ha), with a relatively small number of invasive insects (19 species) accounting for half of this damage. Because climate change may alter the type, severity, and frequency of forest disturbance, quantifying baseline patterns of forest damage is critical for detecting shifts in forest dynamics and developing adaptive management strategies."
7,Effects of Phytophthora ramorum on volatile organic compound emissions of Rhododendron using gas chromatography-mass spectrometry,"Phytophthora ramorum is an invasive and devastating plant pathogen that causes sudden oak death in coastal forests in the western United States and ramorum blight in nursery ornamentals and native plants in various landscapes. As a broad host-range quarantine pest that can be asymptomatic in some hosts, P. ramorum presents significant challenges for regulatory efforts to detect and contain it, particularly in commercial nurseries. As part of a program to develop new detection methods for cryptic infections in nursery stock, we compared volatile emissions of P. ramorum-inoculated and noninoculated Rhododendron plants using three gas chromatography-mass spectrometry methods. The first used a branch enclosure combined with headspace sorptive extraction to measure plant volatiles in situ. Seventy-eight compounds were found in the general Rhododendron profile. The volatile profile of inoculated but asymptomatic plants (121 days post-inoculation) was distinguishable from the profile of the noninoculated controls. Three compounds were less abundant in inoculated Rhododendron plants relative to noninoculated and mock-inoculated control plants. A second method employed stir bar sorptive extraction to measure volatiles in vitro from leaf extractions in methanol; 114 volatiles were found in the overall profile with 30 compounds less abundant and one compound more abundant in inoculated Rhododendron plants relative to mock-inoculated plants. At 128 days post-inoculation, plants were asymptomatic and similar in appearance to the noninoculated controls, but their chemical profiles were different. In a third technique, volatiles from water runoff from the soil of potted healthy and inoculated Rhododendron plants were compared. Runoff from the inoculated plants contained four unique volatile compounds that never appeared in the runoff from mock-inoculated plants. These three volatile detection techniques could lead to innovative approaches that augment detection and diagnosis of P. ramorum and oomycete pathogens in nurseries and other settings."
8,A Multistage Stochastic Programming Approach to the Optimal Surveillance and Control of the Emerald Ash Borer in Cities,"Emerald ash borer (EAB), a wood-boring insect native to Asia and invading North America, has killed untold millions of high-value ash trees that shade streets, homes, and parks and caused significant economic damage in cities of the United States. Local actions to reduce damage include surveillance to find EAB and control to slow its spread. We present a multistage stochastic mixed-integer programming (M-SMIP) model for the optimization of surveillance, treatment, and removal of ash trees in cities. Decision-dependent uncertainty is modeled by representing surveillance decisions and the realizations of the uncertain infestation parameter contingent on surveillance as branches in the M-SMIP scenario tree. The objective is to allocate resources to surveillance and control over space and time to maximize public benefits. We develop a new cutting-plane algorithm to strengthen the M-SMIP formulation and facilitate an optimal solution. We calibrate and validate our model of ash dynamics using seven years of observational data and apply the optimization model to a possible infestation in Burnsville, Minnesota. Proposed cutting planes improve the solution time by an average of seven times over solving the original M-SMIP model without cutting planes. Our comparative analysis shows that the M-SMIP model outperforms six different heuristic approaches proposed for the management of EAB. Results from optimally solving our M-SMIP model imply that under a belief of infestation, it is critical to apply surveillance immediately to locate EAB and then prioritize treatment of minimally infested trees followed by removal of highly infested trees. Summary of Contributions: Emerald ash borer (EAB) is one of the most damaging invasive species ever to reach the United States, damaging millions of ash trees. Much of the economic impact of EAB occurs in cities, where high-value ash trees grow in abundance along streets and in yards and parks. This paper addresses the joint optimization of surveillance and control of the emerald ash borer invasion, which is a novel application for the INFORMS society because, to our knowledge, this specific problem of EAB management has not been published before in any OR/MS journals. We develop a new multi-stage stochastic mixed-integer programming (MSS-MIP) formulation, and we apply our model to surveillance and control of EAB in cities. Our MSS-MIP model aims to help city managers maximize the net benefits of their healthy ash trees by determining the optimal timing and target population for surveying, treating, and removing infested ash trees while taking into account the spatio-temporal stochastic growth of the EAB infestation. We develop a new cutting plane methodology motivated by our problem, which could also be applied to other stochastic MIPs. Our cutting plane approach provides significant computational benefit in solving the problem. Specifically, proposed cutting planes improve the solution time by an average of seven times over solving the original M-SMIP model without cutting planes. We calibrate and validate our model using seven years of ash infestation observations in forests near Toledo, Ohio. We then apply our model to an urban forest in Burnsville, Minnesota, that is threatened by EAB. Our results provide insights into the optimal timing and location of EAB surveillance and control strategies."
9,"Development of Multi locus PCR Assays for Raffaelea lauricola, Causal Agent of Laurel Wilt Disease","Laurel wilt, caused by the fungus Raffaelea lauricola, is an exotic disease that affects members of the Lauraceae plant family in the southeastern United States. The disease is spreading rapidly in native forests and is now found in commercial avocado groves in south Florida, where an accurate diagnostic method would improve disease management. A polymerase chain reaction (PCR) method based on amplifying the ribosomal small-subunit DNA, with a detection limit of 0.0001 ng, was found to be suitable for some quantitative PCR applications; however, it was not taxon specific. Genomic sequencing of R. lauricola was used to identify and develop primers to amplify two taxon-specific simple-sequence repeat (SSR) loci, which did not amplify from related taxa or host DNA. The new SSR loci PCR assay has a detection limit of 0.1 ng of R. lauricola DNA, is compatible with traditional and real-time PCR, was tested in four labs to confirm consistency, and reduces diagnostic time from 1 week to 1 day. Our work illustrates pitfalls to designing taxon-specific assays for new pathogens and that undescribed fungi can limit specificity."
